Datums;ĀI kods;ĀI nosaukums;Kopā;Jauni;Pamata diagnoze;Blakus diagnoze;Smaga slimības gaita;t.sk. Invazīva MPV;Vidēja slimības gaita;Miruši;Izrakstīti;Pārvesti;t.sk. uz augstāka līmeņa;t.sk. uz zemāka līmeņa;t.sk. uz tāda paša līmeņa
2022-02-01T00:00:00;320200001-01;Aizkraukles slimnīca;1;1;0;1;0;0;0;0;0;0;0;0;0
2022-02-01T00:00:00;360200027-01;Alūksnes slimnīca;0;0;0;6;0;0;0;0;1;0;0;0;0
2022-02-01T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;18;;12;6;2;0;16;1;1;0;0;0;0
2022-02-01T00:00:00;400200024-01;Bauskas slimnīca;2;0;4;0;0;0;4;0;1;0;0;0;0
2022-02-01T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;9;5;6;3;;;9;;9;;;;2
2022-02-01T00:00:00;661400011-01;Bērnu psihoneiroloģiskā slimnīca "Ainaži";2;1;0;1;0;0;0;0;0;0;0;0;0
2022-02-01T00:00:00;420200052-01;Cēsu klīnika;11;2;11;0;1;1;8;0;0;0;0;;0
2022-02-01T00:00:00;050012101-01;Daugavpils psihoneiroloģiskā slimnīca;6;1;3;3;0;0;1;0;0;1;0;0;1
2022-02-01T00:00:00;050012101-02;Daugavpils psihoneiroloģiskās slimnīcas Aknīstes slimnīca;1;0;;1;;;1;;;;;;
2022-02-01T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;81;10;59;22;4;1;55;1;10;;;;
2022-02-01T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-01T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;28;5;26;2;4;4;22;0;5;0;0;0;0
2022-02-01T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;52;7;47;5;12;1;35;1;5;2;0;2;0
2022-02-01T00:00:00;130020302-01;Jūrmalas slimnīca;5;1;5;;;;5;1;;;;;
2022-02-01T00:00:00;600200001-01;Krāslavas slimnīca;1;0;;1;0;0;1;0;2;0;0;0;0
2022-02-01T00:00:00;620200038-01;Kuldīgas slimnīca;4;;4;0;;;;;4;;;;
2022-02-01T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;22;0;22;;;;22;1;4;;;;
2022-02-01T00:00:00;170020401-01;Liepājas reģionālā slimnīca;33;13;12;21;0;0;12;2;7;0;0;0;0
2022-02-01T00:00:00;660200027-01;Limbažu slimnīca;10;3;2;8;;;1;;;;;;
2022-02-01T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-01T00:00:00;680200030-01;Ludzas medicīnas centrs;20;3;20;0;0;0;0;0;;0;0;0;0
2022-02-01T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;1;0;0;0;2
2022-02-01T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;135;23;91;44;22;7;69;5;13;1;0;1;0
2022-02-01T00:00:00;170010601-01;Piejūras slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-01T00:00:00;010000234-91;RAKUS kopā;264;31;108;156;22;2;86;5;26;1;;1;
2022-02-01T00:00:00;210020301-01;Rēzeknes slimnīca;8;1;8;0;1;1;7;2;1;0;0;0;0
2022-02-01T00:00:00;010020302-01;Rīgas 2. slimnīca;18;1;0;18;0;0;0;0;1;0;0;0;0
2022-02-01T00:00:00;010021301-01;Rīgas Dzemdību nams;7;0;0;7;0;0;0;0;0;0;0;0;0
2022-02-01T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;52;7;4;48;0;0;4;0;2;0;0;0;0
